title,address,coordinates,id,metro,additionalAddress,seoname,ratingData,categories,phones,socialLinks,urls
Школа мотокросса Владимира Ярыгина,"Курьяновская наб., 37, Москва","[37.704996, 55.64384]",106954075478,"[{""id"": ""station__9858849"", ""name"": ""Марьино"", ""distance"": ""2,74 км"", ""distanceValue"": 2740.97, ""coordinates"": [37.743991403, 55.64883545], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858793"", ""name"": ""Братиславская"", ""distance"": ""3,6 км"", ""distanceValue"": 3558.85, ""coordinates"": [37.748900241, 55.658678518], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858953"", ""name"": ""Борисово"", ""distance"": ""4 км"", ""distanceValue"": 4029.05, ""coordinates"": [37.744543563, 55.634113969], ""type"": ""metro"", ""color"": ""#9fbf00""}]",,shkola_motokrossa_vladimira_yarygina,"{""ratingCount"": 71, ""ratingValue"": 5, ""reviewCount"": 48}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""210249437949"", ""name"": ""мотодром"", ""class"": ""racing"", ""seoname"": ""motor_race_track"", ""pluralName"": ""Мотодромы""}, {""id"": ""184107297"", ""name"": ""спортивный клуб, секция"", ""class"": ""fitness"", ""seoname"": ""sports_club"", ""pluralName"": ""Спортклубы""}]","[{""number"": ""+7 (993) 616-12-91"", ""type"": ""phone"", ""value"": ""+79936161291""}]","[{""type"": ""whatsapp"", ""href"": ""https://wa.me/79936161291?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79936161291""}]","[""https://школамотокросса.рф/""]"
Like-o-moto,"Москва, Северо-Восточный административный округ, район Отрадное","[37.612378, 55.877003]",177398729880,"[{""id"": ""station__9858789"", ""name"": ""Бибирево"", ""distance"": ""1,08 км"", ""distanceValue"": 1083.61, ""coordinates"": [37.60482857, 55.883392294], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858869"", ""name"": ""Отрадное"", ""distance"": ""1,95 км"", ""distanceValue"": 1950.65, ""coordinates"": [37.605385633, 55.864386894], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858776"", ""name"": ""Алтуфьево"", ""distance"": ""3 км"", ""distanceValue"": 3010.24, ""coordinates"": [37.587789963, 55.896642426], ""type"": ""metro"", ""color"": ""#999999""}]",,like_o_moto,"{""ratingCount"": 67, ""ratingValue"": 5, ""reviewCount"": 56}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""89667433305"", ""name"": ""площадка для вождения"", ""class"": ""auto"", ""seoname"": ""driving_training_facility"", ""pluralName"": ""Площадки для вождения""}]","[{""number"": ""+7 (936) 160-40-04"", ""type"": ""phone"", ""value"": ""+79361604004""}, {""number"": ""+7 (495) 256-26-46"", ""type"": ""phone"", ""value"": ""+74952562646""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/like_o_moto"", ""readableHref"": ""vk.com/like_o_moto""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79361604004?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79361604004""}]","[""https://like-o-moto.ru/""]"
Евродрайв,"Ленинский просп., 101, Москва","[37.515552, 55.66596]",149226609511,"[{""id"": ""4419556440"", ""name"": ""Новаторская"", ""distance"": ""630 м"", ""distanceValue"": 629.249, ""coordinates"": [37.519984372, 55.670125905], ""type"": ""metro"", ""color"": ""#60bfbf""}, {""id"": ""5971518087"", ""name"": ""Новаторская"", ""distance"": ""720 м"", ""distanceValue"": 721.136, ""coordinates"": [37.520196047, 55.670612247], ""type"": ""metro"", ""color"": ""#177245""}, {""id"": ""station__9858890"", ""name"": ""Проспект Вернадского"", ""distance"": ""1,56 км"", ""distanceValue"": 1562.41, ""coordinates"": [37.505329504, 55.676001223], ""type"": ""metro"", ""color"": ""#f23d30""}]",этаж 2,yevrodrayv,"{""ratingCount"": 536, ""ratingValue"": 5, ""reviewCount"": 478}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""184106168"", ""name"": ""учебный центр"", ""class"": ""college"", ""seoname"": ""educational_center"", ""pluralName"": ""Учебные центры""}]","[{""number"": ""+7 (968) 437-57-51"", ""type"": ""phone"", ""value"": ""+79684375751"", ""info"": ""Прямой в офис""}, {""number"": ""+7 (495) 409-56-34"", ""type"": ""phone"", ""value"": ""+74954095634"", ""info"": ""Многоканальный""}]","[{""type"": ""telegram"", ""href"": ""https://t.me/+79654338433"", ""readableHref"": ""@+79654338433""}, {""type"": ""viber"", ""href"": ""https://viber.click/79654338433"", ""readableHref"": ""viber.click/79654338433""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoshkola_evrodrive"", ""readableHref"": ""vk.com/avtoshkola_evrodrive""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79654338433?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79654338433""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCqTDhal90IJ5f9LaMiLhm3Q"", ""readableHref"": ""www.youtube.com/@UCqTDhal90IJ5f9LaMiLhm3Q""}]","[""http://evrodrive.ru/avtoshkola-kaluzhskaya""]"
7небо,"Звёздный бул., 21, стр. 1, Москва","[37.62483, 55.811472]",170826472076,"[{""id"": ""station__9858775"", ""name"": ""Алексеевская"", ""distance"": ""1,12 км"", ""distanceValue"": 1116.13, ""coordinates"": [37.638596874, 55.807953274], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""station__9858797"", ""name"": ""ВДНХ"", ""distance"": ""1,45 км"", ""distanceValue"": 1447.43, ""coordinates"": [37.639603531, 55.819948042], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""1737079961"", ""name"": ""Бутырская"", ""distance"": ""2,01 км"", ""distanceValue"": 2008.48, ""coordinates"": [37.603770416, 55.812326331], ""type"": ""metro"", ""color"": ""#9fbf00""}]",,7nebo,"{""ratingCount"": 21, ""ratingValue"": 4.699999809265137, ""reviewCount"": 10}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (985) 059-89-48"", ""type"": ""phone"", ""value"": ""+79850598948""}, {""number"": ""+7 (495) 615-55-05"", ""type"": ""phone"", ""value"": ""+74956155505""}, {""number"": ""+7 (495) 682-20-60"", ""type"": ""phone"", ""value"": ""+74956822060""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoshkola_7nebo"", ""readableHref"": ""vk.com/avtoshkola_7nebo""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79850598948?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79850598948""}]","[""http://sedmoye-nebo.ru/"", ""http://sedmoye-nebo.ru/contacts/""]"
Формула Авто,"Цветной бул., 7, стр. 11, Москва","[37.62007, 55.76941]",210811679819,"[{""id"": ""station__9858939"", ""name"": ""Цветной бульвар"", ""distance"": ""350 м"", ""distanceValue"": 350.367, ""coordinates"": [37.620707803, 55.771720347], ""type"": ""metro"", ""color"": ""#999999""}, {""id"": ""station__9858925"", ""name"": ""Трубная"", ""distance"": ""390 м"", ""distanceValue"": 388.711, ""coordinates"": [37.621939008, 55.767760298], ""type"": ""metro"", ""color"": ""#9fbf00""}, {""id"": ""station__9858894"", ""name"": ""Пушкинская"", ""distance"": ""950 м"", ""distanceValue"": 948.148, ""coordinates"": [37.608588836, 55.765824532], ""type"": ""metro"", ""color"": ""#8647b2""}]",,formula_avto,"{""ratingCount"": 57, ""ratingValue"": 5, ""reviewCount"": 41}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (499) 110-83-49"", ""type"": ""phone"", ""value"": ""+74991108349"", ""info"": ""Администратор""}, {""number"": ""+7 (915) 038-92-09"", ""type"": ""phone"", ""value"": ""+79150389209""}]","[{""type"": ""ok"", ""href"": ""https://ok.ru/profile/572789425007"", ""readableHref"": ""ok.ru/572789425007""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/form_auto"", ""readableHref"": ""vk.com/form_auto""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/@formula__auto"", ""readableHref"": ""www.youtube.com/@formula__auto""}, {""type"": ""telegram"", ""href"": ""https://t.me/formula_auto_shkola"", ""readableHref"": ""@formula_auto_shkola""}]","[""http://form-auto.ru/""]"
Drive,"3-й Хорошёвский пр., 1, стр. 1, Москва","[37.54085, 55.772648]",227651952379,"[{""id"": ""station__9858785"", ""name"": ""Беговая"", ""distance"": ""256 м"", ""distanceValue"": 256.405, ""coordinates"": [37.544463574, 55.773407625], ""type"": ""metro"", ""color"": ""#8647b2""}, {""id"": ""station__9858885"", ""name"": ""Полежаевская"", ""distance"": ""1,55 км"", ""distanceValue"": 1552.01, ""coordinates"": [37.521646272, 55.777635403], ""type"": ""metro"", ""color"": ""#8647b2""}, {""id"": ""2223996721"", ""name"": ""Хорошёвская"", ""distance"": ""1,58 км"", ""distanceValue"": 1577.94, ""coordinates"": [37.521748453, 55.777108593], ""type"": ""metro"", ""color"": ""#60bfbf""}]",,drive,"{""ratingCount"": 67, ""ratingValue"": 4.699999809265137, ""reviewCount"": 51}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (985) 060-66-66"", ""type"": ""phone"", ""value"": ""+79850606666""}, {""number"": ""+7 (909) 687-77-70"", ""type"": ""phone"", ""value"": ""+79096877770""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/mskdrive"", ""readableHref"": ""vk.com/mskdrive""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239299"", ""readableHref"": ""vk.com/video-40365344_456239299""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239288"", ""readableHref"": ""vk.com/video-40365344_456239288""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239287"", ""readableHref"": ""vk.com/video-40365344_456239287""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239284"", ""readableHref"": ""vk.com/video-40365344_456239284""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239277"", ""readableHref"": ""vk.com/video-40365344_456239277""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239227"", ""readableHref"": ""vk.com/video-40365344_456239227""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239296"", ""readableHref"": ""vk.com/video-40365344_456239296""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239230"", ""readableHref"": ""vk.com/video-40365344_456239230""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-40365344_456239298"", ""readableHref"": ""vk.com/video-40365344_456239298""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/video-128784540_456239039"", ""readableHref"": ""vk.com/video-128784540_456239039""}]","[""http://drive-msc.ru/""]"
Автошкола № 1,"Первомайская ул., 89, Москва","[37.804648, 55.793516]",1250423859,"[{""id"": ""station__9858877"", ""name"": ""Первомайская"", ""distance"": ""330 м"", ""distanceValue"": 326.257, ""coordinates"": [37.799737169, 55.793571362], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""station__9858814"", ""name"": ""Измайловская"", ""distance"": ""1,85 км"", ""distanceValue"": 1847.43, ""coordinates"": [37.783309609, 55.787925206], ""type"": ""metro"", ""color"": ""#0070bf""}, {""id"": ""station__9858947"", ""name"": ""Щёлковская"", ""distance"": ""1,99 км"", ""distanceValue"": 1985.09, ""coordinates"": [37.798852172, 55.808348518], ""type"": ""metro"", ""color"": ""#0070bf""}]",,avtoshkola_1,"{""ratingCount"": 334, ""ratingValue"": 5, ""reviewCount"": 225}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (901) 258-59-90"", ""type"": ""phone"", ""value"": ""+79012585990""}, {""number"": ""+7 (916) 713-27-01"", ""type"": ""phone"", ""value"": ""+79167132701""}, {""number"": ""+7 (499) 390-44-45"", ""type"": ""phone"", ""value"": ""+74993904445""}, {""number"": ""+7 (926) 634-00-01"", ""type"": ""phone"", ""value"": ""+79266340001""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoskola1msk"", ""readableHref"": ""vk.com/avtoskola1msk""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCxEcXGib3g-mwzvHIIPawtA"", ""readableHref"": ""www.youtube.com/@UCxEcXGib3g-mwzvHIIPawtA""}, {""type"": ""whatsapp"", ""href"": ""https://wa.me/79266340001?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79266340001""}]","[""https://autonomer1.ru/?utm_campaign=maps_per&utm_source=yandexmaps""]"
Автошкола 177,"Мосфильмовская ул., 53, Москва","[37.497506, 55.703515]",100896397078,"[{""id"": ""1867909861"", ""name"": ""Раменки"", ""distance"": ""690 м"", ""distanceValue"": 694, ""coordinates"": [37.499918763, 55.698859184], ""type"": ""metro"", ""color"": ""#ffd000""}, {""id"": ""1867909271"", ""name"": ""Ломоносовский проспект"", ""distance"": ""1,24 км"", ""distanceValue"": 1242.94, ""coordinates"": [37.51252124, 55.705854453], ""type"": ""metro"", ""color"": ""#ffd000""}, {""id"": ""3176226227"", ""name"": ""Мичуринский проспект"", ""distance"": ""2,19 км"", ""distanceValue"": 2188.11, ""coordinates"": [37.483401046, 55.689683136], ""type"": ""metro"", ""color"": ""#ffd000""}]",этаж 1,avtoshkola_177,"{""ratingCount"": 185, ""ratingValue"": 5, ""reviewCount"": 148}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (965) 229-87-94"", ""type"": ""phone"", ""value"": ""+79652298794"", ""info"": ""Филиал на Озерной""}, {""number"": ""+7 (904) 567-30-95"", ""type"": ""phone"", ""value"": ""+79045673095""}]","[{""type"": ""whatsapp"", ""href"": ""https://wa.me/79264610177?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79264610177""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtobir177"", ""readableHref"": ""vk.com/avtobir177""}, {""type"": ""telegram"", ""href"": ""https://t.me/AvtoRam177"", ""readableHref"": ""@AvtoRam177""}, {""type"": ""max"", ""href"": ""https://max.ru/u/f9LHodD0cOKy7hoKZRYpyuk1NE12TbjccvIvMWq_8jj8mibjtmWXs6fhPv8"", ""readableHref"": ""max.ru/u/f9LHodD0cOKy7hoKZRYpyuk1NE12TbjccvIvMWq_8jj8mibjtmWXs6fhPv8""}]","[""https://177-avtoshkola.ru/avtoshkola_177_na_mosfilmovskoj_ulitse_53/?utm_source=yandex""]"
Дорожно-правовые системы,"ул. Лётчика Бабушкина, 17, корп. 1, Москва","[37.674179, 55.864373]",226375109770,"[{""id"": ""station__9858781"", ""name"": ""Бабушкинская"", ""distance"": ""1,09 км"", ""distanceValue"": 1094.67, ""coordinates"": [37.663195721, 55.868401271], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""station__9858900"", ""name"": ""Свиблово"", ""distance"": ""1,88 км"", ""distanceValue"": 1876.59, ""coordinates"": [37.653845162, 55.856145602], ""type"": ""metro"", ""color"": ""#f28b24""}, {""id"": ""1727545061"", ""name"": ""Ростокино"", ""distance"": ""2,91 км"", ""distanceValue"": 2905.01, ""coordinates"": [37.668936923, 55.83935139], ""type"": ""metro"", ""color"": ""#ff4c4c""}]",,dorozhno_pravovyye_sistemy,"{""ratingCount"": 228, ""ratingValue"": 5, ""reviewCount"": 185}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""214421065055"", ""name"": ""автодром"", ""class"": ""racing"", ""seoname"": ""motordrome"", ""pluralName"": ""Автодромы""}]","[{""number"": ""+7 (985) 928-01-91"", ""type"": ""phone"", ""value"": ""+79859280191""}, {""number"": ""+7 (926) 370-30-29"", ""type"": ""phone"", ""value"": ""+79263703029""}, {""number"": ""+7 (495) 928-01-91"", ""type"": ""phone"", ""value"": ""+74959280191""}]","[{""type"": ""whatsapp"", ""href"": ""https://wa.me/79859280191?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79859280191""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/avtodpsru"", ""readableHref"": ""vk.com/avtodpsru""}, {""type"": ""telegram"", ""href"": ""https://t.me/+79859280191"", ""readableHref"": ""@+79859280191""}]","[""https://avtodps.ru/""]"
На мото,"Ореховый бул., 22А, Москва","[37.733539, 55.612346]",26386567055,"[{""id"": ""station__9858811"", ""name"": ""Домодедовская"", ""distance"": ""740 м"", ""distanceValue"": 738.545, ""coordinates"": [37.721001673, 55.610893908], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858830"", ""name"": ""Красногвардейская"", ""distance"": ""770 м"", ""distanceValue"": 773.65, ""coordinates"": [37.742298444, 55.613428959], ""type"": ""metro"", ""color"": ""#3aa63a""}, {""id"": ""station__9858955"", ""name"": ""Зябликово"", ""distance"": ""890 м"", ""distanceValue"": 891.271, ""coordinates"": [37.744192517, 55.613448697], ""type"": ""metro"", ""color"": ""#9fbf00""}]",этаж -3,na_moto,"{""ratingCount"": 146, ""ratingValue"": 5, ""reviewCount"": 121}","[{""id"": ""132743426043"", ""name"": ""Мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}, {""id"": ""1874584455"", ""name"": ""автоклуб, мотоклуб"", ""class"": ""auto"", ""seoname"": ""auto_club_motorcycle_club"", ""pluralName"": ""Автоклубы, мотоклубы""}]","[{""number"": ""+7 (985) 009-31-92"", ""type"": ""phone"", ""value"": ""+79850093192""}]","[{""type"": ""whatsapp"", ""href"": ""https://wa.me/79850093192?text=%D0%9E%D0%B1%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B8%D0%B7+%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81+%D0%9A%D0%B0%D1%80%D1%82%0A%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!+%D0%9C%D0%B5%D0%BD%D1%8F+%D0%B7%D0%B0%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B2%D0%B0%D0%BB%D0%BE+%D0%B2%D0%B0%D1%88%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5"", ""readableHref"": ""+79850093192""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/channel/UCASLuflaVzV7LSE0_CHu8pQ"", ""readableHref"": ""www.youtube.com/@UCASLuflaVzV7LSE0_CHu8pQ""}, {""type"": ""vkontakte"", ""href"": ""https://vk.com/msknamoto"", ""readableHref"": ""vk.com/msknamoto""}, {""type"": ""telegram"", ""href"": ""https://t.me/msknamoto/195146"", ""readableHref"": ""@195146""}]","[""https://na-moto.ru/""]"
Вираж,"Новый бул., 18, Долгопрудный","[37.496395, 55.938629]",5407591838,"[{""id"": ""5286113736"", ""name"": ""Физтех"", ""distance"": ""4,7 км"", ""distanceValue"": 4718.84, ""coordinates"": [37.54624303, 55.920873836], ""type"": ""metro"", ""color"": ""#9fbf00""}]",этаж 1,virazh,"{""ratingCount"": 305, ""ratingValue"": 5, ""reviewCount"": 239}","[{""id"": ""184105264"", ""name"": ""Автошкола"", ""class"": ""driving school"", ""seoname"": ""driving_school"", ""pluralName"": ""Автошколы""}, {""id"": ""132743426043"", ""name"": ""мотошкола"", ""class"": ""driving school"", ""seoname"": ""motorcycle_school"", ""pluralName"": ""Мотошколы""}]","[{""number"": ""+7 (929) 907-77-00"", ""type"": ""phone"", ""value"": ""+79299077700"", ""info"": ""Главный офис""}]","[{""type"": ""vkontakte"", ""href"": ""https://vk.com/avtoskolavirof"", ""readableHref"": ""vk.com/avtoskolavirof""}, {""type"": ""youtube"", ""href"": ""https://www.youtube.com/@avtoshkola-virazh"", ""readableHref"": ""www.youtube.com/@avtoshkola-virazh""}, {""type"": ""max"", ""href"": ""https://max.ru/id5018207252_bot"", ""readableHref"": ""max.ru/id5018207252_bot""}, {""type"": ""telegram"", ""href"": ""https://t.me/virageschool_bot"", ""readableHref"": ""@virageschool_bot""}]","[""https://777-00.ru/""]"
